representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,18.393923258643376,411360.0567744588,1689.6783073995623,R236ea,gas,304061.81026005396,-1.0,42,327.1696301947794
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,17.248232782062125,410412.2329313918,1690.0311488536408,R236ea,gas,285124.52047533565,-1.0,43,325.79599058595505
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,16.10626913453652,409399.78404265386,1690.4111670253828,R236ea,gas,266187.23069061746,-1.0,44,324.3448996653812
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,14.967755408543583,408313.4671210677,1690.8225143778752,R236ea,gas,247249.94090589916,-1.0,45,322.80510080544553
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,13.832377806380906,407141.87734742434,1691.2703612600533,R236ea,gas,228312.65112118097,-1.0,46,321.1626900220844
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,12.699775460663252,405870.71166780824,1691.7612558511705,R236ea,gas,209375.36133646267,-1.0,47,319.4002089927704
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,11.56952636411964,404481.6878551454,1692.303657958222,R236ea,gas,190438.07155174448,-1.0,48,317.4953113983087
S5_DCA_compromise,2,DC-A,compromise,HE_EXPANSION,10.441127382262973,402950.90471277415,1692.9087579222842,R236ea,gas,171500.78176702617,-1.0,49,315.41873577876805
S5_DCA_density,1,DC-A,density,HE_EXPANSION,24.83439129592019,403564.9464502703,1653.4481377315967,R236ea,gas,388331.365906483,-1.0,0,320.6350468496799
S5_DCA_density,1,DC-A,density,HE_EXPANSION,24.543081628592358,403418.47461484966,1653.5480662853993,R236ea,gas,383924.483200823,-1.0,1,320.38658213056806
S5_DCA_density,1,DC-A,density,HE_EXPANSION,24.2521604738257,403270.27848469175,1653.6493392649484,R236ea,gas,379517.600495163,-1.0,2,320.13604404863827
S5_DCA_density,1,DC-A,density,HE_EXPANSION,23.961625038541023,403120.3190055037,1653.7519889841826,R236ea,gas,375110.717789503,-1.0,3,319.88338366961773
S5_DCA_density,1,DC-A,density,HE_EXPANSION,23.671472504856855,402968.5557666396,1653.8560489265865,R236ea,gas,370703.835083843,-1.0,4,319.62855037131186
S5_DCA_density,1,DC-A,density,HE_EXPANSION,23.381700028779555,402814.94693725463,1653.9615538019993,R236ea,gas,366296.952378183,-1.0,5,319.37149176397514
S5_DCA_density,1,DC-A,density,HE_EXPANSION,23.092304738829785,402659.4491986417,1654.0685396068832,R236ea,gas,361890.069672523,-1.0,6,319.1121536059064
S5_DCA_density,1,DC-A,density,HE_EXPANSION,22.80328373459977,402502.01767248055,1654.1770436883535,R236ea,gas,357483.186966863,-1.0,7,318.85047971393334
S5_DCA_density,1,DC-A,density,HE_EXPANSION,22.51463408523839,402342.60584469483,1654.287104812212,R236ea,gas,353076.304261203,-1.0,8,318.5864118683951
S5_DCA_density,1,DC-A,density,HE_EXPANSION,22.226352827858566,402181.16548458755,1654.3987632353019,R236ea,gas,348669.42155554297,-1.0,9,318.3198897122205
S5_DCA_density,1,DC-A,density,HE_EXPANSION,21.938436965861424,402017.6465589077,1654.5120607825445,R236ea,gas,344262.53884988296,-1.0,10,318.05085064365693
S5_DCA_density,1,DC-A,density,HE_EXPANSION,21.650883467173344,401851.99714044586,1654.6270409289648,R236ea,gas,339855.65614422294,-1.0,11,317.7792297021501
S5_DCA_density,1,DC-A,density,HE_EXPANSION,21.36368926238781,401684.1633107511,1654.7437488871644,R236ea,gas,335448.77343856293,-1.0,12,317.5049594468605
S5_DCA_density,1,DC-A,density,HE_EXPANSION,21.076851242807095,401514.089056496,1654.862231700639,R236ea,gas,331041.8907329029,-1.0,13,317.2279698272241
S5_DCA_density,1,DC-A,density,HE_EXPANSION,20.790366258376505,401341.7161589915,1654.9825383434177,R236ea,gas,326635.00802724296,-1.0,14,316.9481880449268
S5_DCA_density,1,DC-A,density,HE_EXPANSION,20.504231115503117,401166.98407629604,1655.1047198265637,R236ea,gas,322228.12532158295,-1.0,15,316.6655384066002
S5_DCA_density,1,DC-A,density,HE_EXPANSION,20.21844257475139,400989.82981731655,1655.2288293120987,R236ea,gas,317821.24261592294,-1.0,16,316.3799421664774
S5_DCA_density,1,DC-A,density,HE_EXPANSION,19.932997348406353,400810.18780723517,1655.3549222349668,R236ea,gas,313414.3599102629,-1.0,17,316.09131735817334
S5_DCA_density,1,DC-A,density,HE_EXPANSION,19.647892097895138,400627.98974353686,1655.4830564337522,R236ea,gas,309007.4772046029,-1.0,18,315.7995786146737
S5_DCA_density,1,DC-A,density,HE_EXPANSION,19.363123431055598,400443.16444183176,1655.613292290897,R236ea,gas,304600.5944989429,-1.0,19,315.5046369755275
S5_DCA_density,1,DC-A,density,HE_EXPANSION,19.078687899241558,400255.6376705948,1655.7456928832516,R236ea,gas,300193.7117932829,-1.0,20,315.20639968012654
S5_DCA_density,1,DC-A,density,HE_EXPANSION,18.794581994250862,400065.3319738509,1655.8803241439243,R236ea,gas,295786.8290876229,-1.0,21,314.90476994586
S5_DCA_density,1,DC-A,density,HE_EXPANSION,18.510802145064186,399872.1664807241,1656.0172550363854,R236ea,gas,291379.94638196286,-1.0,22,314.599646729774
S5_DCA_density,1,DC-A,density,HE_EXPANSION,18.22734471437943,399676.056700675,1656.1565577419908,R236ea,gas,286973.0636763029,-1.0,23,314.29092447224457
S5_DCA_density,1,DC-A,density,HE_EXPANSION,17.94420599491807,399476.9143031043,1656.298307862433,R236ea,gas,282566.18097064283,-1.0,24,313.9784928210966
S5_DCA_density,1,DC-A,density,HE_EXPANSION,17.661382205506165,399274.6468798671,1656.4425846377796,R236ea,gas,278159.2982649829,-1.0,25,313.6622363340798
S5_DCA_density,1,DC-A,density,HE_EXPANSION,17.378869486882273,399069.1576890808,1656.5894711826693,R236ea,gas,273752.41555932286,-1.0,26,313.3420341580035
S5_DCA_density,1,DC-A,density,HE_EXPANSION,17.09666389723184,398860.34537842235,1656.7390547416421,R236ea,gas,269345.53285366285,-1.0,27,313.0177596820032
S5_DCA_density,1,DC-A,density,HE_EXPANSION,16.81476140741532,398648.103685916,1656.8914269658592,R236ea,gas,264938.65014800284,-1.0,28,312.68928016251385
S5_DCA_density,1,DC-A,density,HE_EXPANSION,16.533157895866335,398432.3211159568,1657.0466842132885,R236ea,gas,260531.76744234283,-1.0,29,312.3564563170933
