representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCA_compromise,2,DC-A,compromise,HE,10.441129643425738,402950.85305924015,1692.908594160488,R236ea,gas,171500.78176702617,-1.0,4,315.41867855211376
S5_DCA_density,1,DC-A,density,HP,5.025154824837997,631723.4507356188,2478.507130323958,R600,gas,204996.000819372,-1.0,1,303.1499886744104
S5_DCA_density,1,DC-A,density,HP,25.64625925331743,793557.3109223943,2710.4274872615283,R600,gas,1233763.8338931855,-1.0,2,398.2926545158663
S5_DCA_density,1,DC-A,density,HP,509.2180376878269,389744.5641298502,1605.0631684256098,R600,liquid,1233763.8338931855,-1.0,3,348.08910356885025
S5_DCA_density,1,DC-A,density,HP,24.28725100078935,322995.6003230479,1425.0352358884236,R600,twophase,204996.000819372,0.20892720426786937,4,292.75216463248273
S5_DCA_density,1,DC-A,density,HE,1451.5853193180367,221046.3024249824,1074.515748466185,R236ea,liquid,172394.1133291427,-1.0,1,290.1496879370416
S5_DCA_density,1,DC-A,density,HE,1451.840453319111,221317.2441567906,1074.9367687766028,R236ea,liquid,388331.365906483,-1.0,2,290.3221099629276
S5_DCA_density,1,DC-A,density,HE,24.83439071650715,403564.9511776202,1653.4481524753053,R236ea,gas,388331.365906483,-1.0,3,320.6350518047763
S5_DCA_density,1,DC-A,density,HE,10.956411844952463,393134.4783730108,1660.966569935228,R236ea,gas,172394.1133291427,-1.0,4,304.48947029841736
S5_DCA_density,2,DC-A,density,HP,5.025154824837997,631723.4507356188,2478.507130323958,R600,gas,204996.000819372,-1.0,1,303.1499886744104
S5_DCA_density,2,DC-A,density,HP,25.64625925331743,793557.3109223943,2710.4274872615283,R600,gas,1233763.8338931855,-1.0,2,398.2926545158663
S5_DCA_density,2,DC-A,density,HP,509.2180376878269,389744.5641298502,1605.0631684256098,R600,liquid,1233763.8338931855,-1.0,3,348.08910356885025
S5_DCA_density,2,DC-A,density,HP,24.28725100078935,322995.6003230479,1425.0352358884236,R600,twophase,204996.000819372,0.20892720426786937,4,292.75216463248273
S5_DCA_density,2,DC-A,density,HE,1451.5853193180367,221046.3024249824,1074.515748466185,R236ea,liquid,172394.1133291427,-1.0,1,290.1496879370416
S5_DCA_density,2,DC-A,density,HE,1451.840453319111,221317.2441567906,1074.9367687766028,R236ea,liquid,388331.365906483,-1.0,2,290.3221099629276
S5_DCA_density,2,DC-A,density,HE,24.83439071650715,403564.9511776202,1653.4481524753053,R236ea,gas,388331.365906483,-1.0,3,320.6350518047763
S5_DCA_density,2,DC-A,density,HE,10.956411844952463,393134.4783730108,1660.966569935228,R236ea,gas,172394.1133291427,-1.0,4,304.48947029841736
S5_DCA_efficiency,1,DC-A,efficiency,HP,1.298185586704645,367151.9697240962,1228.4254395679154,Cyclopentane,gas,45769.197604176494,-1.0,1,303.149997084457
S5_DCA_efficiency,1,DC-A,efficiency,HP,8.584015121645209,531503.4445481689,1436.5236587974812,Cyclopentane,gas,399028.7655021934,-1.0,2,417.9877689857225
S5_DCA_efficiency,1,DC-A,efficiency,HP,676.4415162411387,74150.84307898983,216.47722342941972,Cyclopentane,liquid,399028.7655021934,-1.0,3,358.7692219737261
S5_DCA_efficiency,1,DC-A,efficiency,HP,9.30892934584944,14685.862194443529,54.14841124647142,Cyclopentane,twophase,45769.197604176494,0.13941586001582756,4,300.14018814345957
S5_DCA_efficiency,1,DC-A,efficiency,HE,1360.1442068837878,222415.11433275638,1079.6465239965903,R245fa,liquid,122692.60371460502,-1.0,1,290.07218694398887
S5_DCA_efficiency,1,DC-A,efficiency,HE,1360.7354623052433,223443.73849377752,1081.2533650222085,R245fa,liquid,887312.5389828715,-1.0,2,290.676681268619
S5_DCA_efficiency,1,DC-A,efficiency,HE,48.46577865066818,470148.39583654597,1797.8611177151638,R245fa,gas,887312.5389828715,-1.0,3,360.8907332026313
S5_DCA_efficiency,1,DC-A,efficiency,HE,6.602085304200007,436885.23391228425,1809.8219046977447,R245fa,gas,122692.60371460502,-1.0,4,311.3672371504361
S5_DCA_efficiency,2,DC-A,efficiency,HP,1.298185586704645,367151.9697240962,1228.4254395679154,Cyclopentane,gas,45769.197604176494,-1.0,1,303.149997084457
S5_DCA_efficiency,2,DC-A,efficiency,HP,8.584015121645209,531503.4445481689,1436.5236587974812,Cyclopentane,gas,399028.7655021934,-1.0,2,417.9877689857225
S5_DCA_efficiency,2,DC-A,efficiency,HP,676.4415162411387,74150.84307898983,216.47722342941972,Cyclopentane,liquid,399028.7655021934,-1.0,3,358.7692219737261
S5_DCA_efficiency,2,DC-A,efficiency,HP,9.30892934584944,14685.862194443529,54.14841124647142,Cyclopentane,twophase,45769.197604176494,0.13941586001582756,4,300.14018814345957
S5_DCA_efficiency,2,DC-A,efficiency,HE,1360.1442068837878,222415.11433275638,1079.6465239965903,R245fa,liquid,122692.60371460502,-1.0,1,290.07218694398887
S5_DCA_efficiency,2,DC-A,efficiency,HE,1360.7354623052433,223443.73849377752,1081.2533650222085,R245fa,liquid,887312.5389828715,-1.0,2,290.676681268619
S5_DCA_efficiency,2,DC-A,efficiency,HE,48.46577865066818,470148.39583654597,1797.8611177151638,R245fa,gas,887312.5389828715,-1.0,3,360.8907332026313
