T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,eta_p2p,energy_density_thermal,exergy_efficiency,wp,cb_config,fluid_hp,fluid_he,label,orc_type,hp_type
84.303472,59.999834,3.855700,3.227011,2.766777,14.401699,0.898974,0.899196,0.547387,0.115880,34.281563,0.040657,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
82.239816,59.999834,3.715571,4.186933,2.947466,14.666805,0.898407,0.899782,0.541942,0.046467,34.308737,0.015577,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
97.532580,59.999915,6.610566,4.878464,2.811180,14.666296,0.898974,0.899972,0.541845,0.344099,34.098888,0.189012,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
88.405485,59.999924,3.767418,3.914826,2.741779,14.724628,0.898967,0.899781,0.544522,0.220908,34.226535,0.080046,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
83.080770,59.999515,19.059070,5.162143,1.146743,14.853318,0.899001,0.899816,0.534861,0.058256,34.297522,0.045420,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
99.172170,59.999238,3.272503,3.087428,2.897116,14.400643,0.899090,0.899848,0.541041,0.376035,34.074862,0.138531,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
92.888327,59.999824,4.214126,3.263273,1.846370,14.644100,0.898447,0.899181,0.547155,0.299768,34.164647,0.122500,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
85.222654,59.999831,7.555879,3.312986,1.219282,13.950225,0.898487,0.899955,0.541012,0.133511,34.269343,0.071837,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
87.383506,59.988631,10.276301,6.344642,1.906997,14.961647,0.896487,0.899092,0.544556,0.179211,34.233903,0.113527,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
92.079208,59.999828,5.359781,3.544773,2.941630,14.996251,0.897920,0.899950,0.541308,0.281439,34.175934,0.132234,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
84.360415,59.999915,6.627140,4.878464,2.486457,14.666296,0.898974,0.899972,0.541845,0.112199,34.280854,0.055633,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
86.508793,59.999972,7.399005,3.308553,1.190991,13.959871,0.898443,0.899206,0.541889,0.166567,34.252208,0.089544,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
