wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.33054305431861813,34.02597733568181,0.24055037505561755,102.40911647712417,59.99637662032712,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.3320874566539292,33.99652412323356,0.2693376353691048,104.53934635964038,59.99993750787297,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.34059198893234277,34.097577652896184,0.19211536501887014,97.49864674787973,59.99677676831795,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.3420732670539458,34.10204626404094,0.19154303886910798,97.30977114808123,59.99984773175815,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.3449691346762997,34.1064324005678,0.154673503404258,96.8475886952109,59.99595207370892,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R1234ze(E).csv,0.34546876863509063,33.92921624381223,0.28637275077336205,109.02937793979362,59.99992502027216,,,,,
DC-A,SRVCHP_SBORC,R600,R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R600_R1234ze(E).csv,0.35444244633545574,33.92623406569815,0.2876563384502602,109.20964871996566,59.999476459141015,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.3587716312514797,33.978074650930274,0.25819345984013187,105.78026907181184,59.99998952925043,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.3598827984805226,34.07131567945197,0.1978471406677773,99.2712318833305,59.995549474255,,,,,
DC-A,SRVCHP_SRORC,R600,R1234ze(E),pareto_DC-A_SRVCHP_SRORC_R600_R1234ze(E).csv,0.3623677249806222,33.928438251730356,0.2740528147534399,108.87366737125244,59.99443765319124,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.3701601373103121,33.91849575123405,0.3040020946376405,109.73807321275854,59.99993750787297,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.37355728002672356,33.86584382201143,0.31341673746315096,112.50453331253675,59.981458579590665,,,,,
