wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.37315732559000236,17.321801384810616,0.2486197237043919,83.81883962590936,30.441049204780136,,,,,
DC-A,SBVCHP_SBORC,R245fa,R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R245fa_R1234ze(E).csv,0.3784457451820442,16.727576525227853,0.26692997223220477,94.72224643516668,29.545627476648907,,,,,
DC-A,SBVCHP_SBORC,R600,R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R600_R1234ze(E).csv,0.3852430908127882,15.857112733940232,0.28081457077332345,91.91365065849398,27.98075639874061,,,,,
DC-A,SBVCHP_SBORC,R245fa,R134a,pareto_DC-A_SBVCHP_SBORC_R245fa_R134a.csv,0.3881959496580191,13.263978144776159,0.2841769026170819,82.32853026111944,23.325479837427263,,,,,
DC-A,SBVCHP_SBORC,R245fa,R134a,pareto_DC-A_SBVCHP_SBORC_R245fa_R134a.csv,0.39189132972986396,12.296750375906926,0.2950758112864089,85.32544814285276,21.66057308634675,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.3944003849997453,19.21479499078624,0.21938666547853042,90.08391421008032,33.84035302501341,,,,,
DC-A,SBVCHP_SBORC,R245fa,R134a,pareto_DC-A_SBVCHP_SBORC_R245fa_R134a.csv,0.39974041031861524,13.842055570835559,0.26942332003975505,84.99621091080617,24.366059619928265,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.40268035259287177,18.627003937755827,0.17940258948751128,88.60083767609353,32.78979783012511,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R134a.csv,0.4064041930335766,17.266639028566964,0.18155443991559708,89.62167249868409,30.422207144723373,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.410759436022964,10.23030373572768,0.3038719980949646,78.60430333602979,17.979755707889353,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.41407321398867425,17.350634490080388,0.17967806139388484,83.99973925508097,30.493836979999045,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.4184169201928299,17.238887624525397,0.2112709025798107,90.3062335977739,30.382874545379735,,,,,
DC-A,SBVCHP_SBORC,R245fa,R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R245fa_R1234ze(E).csv,0.42179871219709725,9.990341618918585,0.27878032108078027,72.78645082389102,17.515260555997013,,,,,
DC-A,SBVCHP_SBORC,R600,R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R600_R1234ze(E).csv,0.4298928383579488,9.56297886497997,0.3004213106062433,81.9170995876985,16.835626791529943,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.4393291059232983,12.719996948453932,0.23019797752362278,76.86814781766768,22.319808845566797,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R134a.csv,0.4448518592794216,9.469854067886708,0.2837337937901367,82.47100627437656,16.676381430190297,,,,,
