wp,cfg,fluid_hp,fluid_he,seed,source_s2_run_id,s3_selection_rank,s3_selected_reason,requires_s5_review
DC-B,SRVCHP_SRORC,R600,R227EA,101,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-B,SRVCHP_SRORC,R600,R227EA,202,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-B,SRVCHP_SRORC,R245fa,R227EA,17,S2_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R245fa,R227EA,42,S2_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R245fa,R227EA,73,S2_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R245fa,R227EA,101,S2_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R245fa,R227EA,202,S2_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,17,S2_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,42,S2_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,73,S2_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,101,S2_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,202,S2_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R601a,R227EA,17,S2_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R601a,R227EA,42,S2_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R601a,R227EA,73,S2_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R601a,R227EA,101,S2_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,R601a,R227EA,202,S2_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R245fa,17,S2_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-C,SBVCHP_SBORC,Acetone,R245fa,42,S2_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-C,SBVCHP_SBORC,Acetone,R245fa,73,S2_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-C,SBVCHP_SBORC,Acetone,R245fa,101,S2_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-C,SBVCHP_SBORC,Acetone,R245fa,202,S2_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,17,S2_DCC_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,42,S2_DCC_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,73,S2_DCC_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,101,S2_DCC_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,202,S2_DCC_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-C,SBVCHP_SBORC,Acetone,R600,17,S2_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600,42,S2_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600,73,S2_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600,101,S2_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600,202,S2_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,3,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,17,S2_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,42,S2_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,73,S2_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,101,S2_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,202,S2_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
