run_id,wp,cfg,fluid_hp,fluid_he,seed,sample_count,feasible_count,failure_count,feasible_rate
S1_DCB_SBVCHP-SBORC_R601_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R290,42,256,27,229,0.10546875
S1_DCB_SRVCHP-SRORC_R601_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R227EA,42,256,65,191,0.25390625
S1_DCB_SRVCHP-SRORC_R601_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R134a,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R601_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R600a,42,256,40,216,0.15625
S1_DCB_SRVCHP-SRORC_R601_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R1234yf,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R601_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R290,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R601_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R600,42,256,40,216,0.15625
S1_DCB_SBVCHP-SBORC_R601_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R245fa,42,256,40,216,0.15625
S1_DCB_SBVCHP-SBORC_R601_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R236ea,42,256,42,214,0.1640625
S1_DCB_SRVCHP-SRORC_R601_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R600a,42,256,51,205,0.19921875
S1_DCB_SRVCHP-SRORC_R601_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R600,42,256,66,190,0.2578125
S1_DCB_SBVCHP-SBORC_R601_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R236fa,42,256,42,214,0.1640625
S1_DCB_SRVCHP-SRORC_R601_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R245fa,42,256,63,193,0.24609375
S1_DCB_SBVCHP-SBORC_R601_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R365MFC,42,256,40,216,0.15625
S1_DCB_SBVCHP-SBORC_R601a_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R1234ze(E),42,256,26,230,0.1015625
S1_DCB_SBVCHP-SBORC_R601a_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R227EA,42,256,26,230,0.1015625
S1_DCB_SRVCHP-SRORC_R601_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R236ea,42,256,77,179,0.30078125
S1_DCB_SBVCHP-SBORC_R601a_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R134a,42,256,23,233,0.08984375
S1_DCB_SRVCHP-SRORC_R601_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R236fa,42,256,66,190,0.2578125
S1_DCB_SRVCHP-SRORC_R601_R365MFC_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R365MFC,42,256,80,176,0.3125
S1_DCB_SRVCHP-SRORC_R601a_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R1234ze(E),42,256,31,225,0.12109375
S1_DCB_SBVCHP-SBORC_R601a_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R152A,42,256,11,245,0.04296875
S1_DCB_SBVCHP-SBORC_R601a_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R1234yf,42,256,26,230,0.1015625
S1_DCB_SRVCHP-SRORC_R601a_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R152A,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R601a_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R290,42,256,19,237,0.07421875
S1_DCB_SRVCHP-SRORC_R601a_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R134a,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R601a_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R600a,42,256,24,232,0.09375
S1_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R227EA,42,256,62,194,0.2421875
S1_DCB_SRVCHP-SRORC_R601a_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R290,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R601a_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R1234yf,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R601a_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R600,42,256,24,232,0.09375
S1_DCB_SBVCHP-SBORC_R601a_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R245fa,42,256,24,232,0.09375
S1_DCB_SBVCHP-SBORC_R601a_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R236ea,42,256,26,230,0.1015625
S1_DCB_SBVCHP-SBORC_R601a_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R236fa,42,256,26,230,0.1015625
S1_DCB_SRVCHP-SRORC_R601a_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R600a,42,256,49,207,0.19140625
S1_DCB_SRVCHP-SRORC_R601a_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R245fa,42,256,61,195,0.23828125
S1_DCB_SRVCHP-SRORC_R601a_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R600,42,256,63,193,0.24609375
S1_DCB_SBVCHP-SBORC_R601a_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601a,R365MFC,42,256,24,232,0.09375
S1_DCB_SBVCHP-SBORC_R1234zeZ_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R1234ze(E),42,256,138,118,0.5390625
S1_DCB_SRVCHP-SRORC_R601a_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R236ea,42,256,74,182,0.2890625
S1_DCB_SRVCHP-SRORC_R601a_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R236fa,42,256,63,193,0.24609375
S1_DCB_SBVCHP-SBORC_R1234zeZ_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R227EA,42,256,129,127,0.50390625
S1_DCB_SBVCHP-SBORC_R1234zeZ_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R134a,42,256,80,176,0.3125
S1_DCB_SRVCHP-SRORC_R1234zeZ_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R1234ze(E),42,256,32,224,0.125
S1_DCB_SRVCHP-SRORC_R601a_R365MFC_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601a,R365MFC,42,256,76,180,0.296875
S1_DCB_SBVCHP-SBORC_R1234zeZ_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R152A,42,256,37,219,0.14453125
S1_DCB_SBVCHP-SBORC_R1234zeZ_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R600a,42,256,154,102,0.6015625
S1_DCB_SRVCHP-SRORC_R1234zeZ_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R152A,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R1234zeZ_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R227EA,42,256,66,190,0.2578125
S1_DCB_SBVCHP-SBORC_R1234zeZ_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R1234yf,42,256,101,155,0.39453125
S1_DCB_SRVCHP-SRORC_R1234zeZ_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R290,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R1234zeZ_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R134a,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R1234zeZ_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R290,42,256,67,189,0.26171875
S1_DCB_SRVCHP-SRORC_R1234zeZ_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R1234yf,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R1234zeZ_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R600,42,256,153,103,0.59765625
S1_DCB_SBVCHP-SBORC_R1234zeZ_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R245fa,42,256,154,102,0.6015625
S1_DCB_SBVCHP-SBORC_R1234zeZ_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R236ea,42,256,156,100,0.609375
S1_DCB_SBVCHP-SBORC_R1234zeZ_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R236fa,42,256,157,99,0.61328125
S1_DCB_SRVCHP-SRORC_R1234zeZ_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R600a,42,256,48,208,0.1875
S1_DCB_SRVCHP-SRORC_R1234zeZ_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R245fa,42,256,61,195,0.23828125
S1_DCB_SRVCHP-SRORC_R1234zeZ_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R600,42,256,64,192,0.25
S1_DCB_SBVCHP-SBORC_R1234zeZ_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1234ze(Z),R365MFC,42,256,154,102,0.6015625
S1_DCB_SBVCHP-SBORC_R365MFC_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R1234ze(E),42,256,10,246,0.0390625
S1_DCB_SBVCHP-SBORC_R365MFC_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R227EA,42,256,10,246,0.0390625
