run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,exit_code,elapsed_s,run_dir,detail
S1_DCB_SRVCHP-SRORC_R1233zdE_R365MFC_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R365MFC,42,FINISHED,0,29.16444706916809,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R365MFC_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R236fa_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R236fa,42,FINISHED,0,32.803916692733765,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R236fa_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R1234zeE_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R1234ze(E),42,FINISHED,0,23.147818326950073,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R1234zeE_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R134a_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R134a,42,FINISHED,0,14.67117190361023,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R134a_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R152A_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R152A,42,FINISHED,0,9.661387920379639,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R152A_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R152A_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R152A,42,FINISHED,0,17.877615213394165,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R152A_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R134a_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R134a,42,FINISHED,0,25.52518630027771,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R134a_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R600a_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R600a,42,FINISHED,0,11.443269491195679,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R600a_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R290_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R290,42,FINISHED,0,17.685118436813354,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R290_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R1234yf_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R1234yf,42,FINISHED,0,18.53058648109436,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R1234yf_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R290_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R290,42,FINISHED,0,18.123510599136353,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R290_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R227EA,42,FINISHED,0,37.855902671813965,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R1234yf_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R1234yf,42,FINISHED,0,19.771020889282227,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R1234yf_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R600_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R600,42,FINISHED,0,11.103343963623047,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R600_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R245fa_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R245fa,42,FINISHED,0,11.292601823806763,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R245fa_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R236ea_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R236ea,42,FINISHED,0,13.678049325942993,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R236ea_seed042_20260716T121618Z,
