wp,cfg,fluid_hp,fluid_he,seed,run_id,certified_normalized_hypervolume,eta_p2p_maximum,energy_density_thermal_maximum,exergy_efficiency_maximum,igd_plus_to_union
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,73,S4_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed073_20260720T095135Z,0.06376744375919399,0.3694317621326045,34.048524587794894,0.2996240777601034,0.000578347616313834
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,101,S4_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed101_20260720T095135Z,0.06394332106757823,0.3700791730970915,34.04836780908321,0.2997753225164944,0.0009784262501369764
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,202,S4_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260721T031641Z,0.06396404430020569,0.3700594683169623,34.04849057364209,0.299511542538366,0.0008215781047175842
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,17,S4_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed017_20260720T095135Z,0.07278373944648822,0.408927740315267,34.03701523180747,0.339996713167521,0.00152159678720725
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,42,S4_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260720T095135Z,0.07265743042587391,0.406603881750983,34.037460287449655,0.3401592612943493,0.0007620846430342519
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,73,S4_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed073_20260720T095135Z,0.07264684093672881,0.4084379158062607,34.036937899367224,0.3398088012370255,0.0009708622527628065
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,101,S4_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed101_20260720T095135Z,0.07286663500720197,0.408593614592233,34.03660872206767,0.3396533779986538,0.001421356598216677
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,202,S4_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed202_20260720T095135Z,0.07289575946537703,0.4089773681143238,34.03751646647897,0.3409107442550536,0.001125125021600038
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,17,S4_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed017_20260720T095135Z,0.07552066593882764,0.4203133599365845,34.03271315741895,0.3539385237688998,0.0011537967602506419
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,42,S4_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260720T095135Z,0.075071455069077,0.4163212223982382,34.03283109171786,0.3536286767792995,0.0017959531143511653
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,73,S4_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed073_20260721T031641Z,0.07474016315787102,0.41679446208722,34.03260149746458,0.3523916555324263,0.0017480117151509181
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,101,S4_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed101_20260720T095135Z,0.07557570745409137,0.4216068669373016,34.03154926441191,0.3540722955856666,0.0009725771130541898
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,202,S4_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed202_20260720T095135Z,0.07283680638608446,0.3986478184262679,34.032711436154955,0.3526694117058395,0.002612156294341922
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,17,S4_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed017_20260720T095135Z,0.07654653660225921,0.4245287633767895,34.03230907571841,0.3572804798061292,0.0012087715467783205
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,42,S4_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed042_20260720T095135Z,0.07601401741079508,0.4223127459240818,34.03223871794388,0.3570883681625938,0.0016759698569544929
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,73,S4_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed073_20260720T095135Z,0.07593028671608583,0.417143499400175,34.032136282558426,0.357328212549211,0.0011229691682390747
